"","Erythrocytic.cycle.number","Parasitaemia","Line","Treatment"
"159",0,0.13,"p230p","RAP-"
"160",1,0.53,"p230p","RAP-"
"161",1,0.31,"p230p","RAP-"
"162",1,0.33,"p230p","RAP-"
"163",2,1.59,"p230p","RAP-"
"164",2,1.65,"p230p","RAP-"
"165",2,1.3,"p230p","RAP-"
"166",3,10.8,"p230p","RAP-"
"167",3,9.2,"p230p","RAP-"
"168",3,9.9,"p230p","RAP-"
"169",0,0.17,"rom4","RAP+"
"170",0,0.14,"rom4","RAP+"
"171",0,0.14,"rom4","RAP+"
"172",0,0.11,"rom4","RAP-"
"173",0,0.13,"rom4","RAP-"
"174",0,0.17,"rom4","RAP-"
"175",0,0.12,"rom8","RAP+"
"176",0,0.19,"rom8","RAP+"
"177",0,0.12,"rom8","RAP+"
"178",0,0.13,"rom8","RAP-"
"179",0,0.072,"rom8","RAP-"
"180",0,0.061,"rom8","RAP-"
"181",1,0.12,"rom4","RAP+"
"182",1,0.22,"rom4","RAP+"
"183",1,0.24,"rom4","RAP+"
"184",1,0.87,"rom4","RAP-"
"185",1,0.6,"rom4","RAP-"
"186",1,0.62,"rom4","RAP-"
"187",1,0.12,"rom8","RAP+"
"188",1,0.1,"rom8","RAP+"
"189",1,0.16,"rom8","RAP+"
"190",1,0.52,"rom8","RAP-"
"191",1,0.54,"rom8","RAP-"
"192",1,0.45,"rom8","RAP-"
"193",2,0.23,"rom4","RAP+"
"194",2,0.24,"rom4","RAP+"
"195",2,0.17,"rom4","RAP+"
"196",2,7.21,"rom4","RAP-"
"197",2,5.92,"rom4","RAP-"
"198",2,6.94,"rom4","RAP-"
"199",2,0.041,"rom8","RAP+"
"200",2,0.031,"rom8","RAP+"
"201",2,0.051,"rom8","RAP+"
"202",2,4.88,"rom8","RAP-"
"203",2,4.86,"rom8","RAP-"
"204",2,4.55,"rom8","RAP-"
"205",3,0.44,"rom4","RAP+"
"206",3,0.38,"rom4","RAP+"
"207",3,0.45,"rom4","RAP+"
"208",3,33.4,"rom4","RAP-"
"209",3,33.1,"rom4","RAP-"
"210",3,34.3,"rom4","RAP-"
"211",3,0.12,"rom8","RAP+"
"212",3,0.093,"rom8","RAP+"
"213",3,0.14,"rom8","RAP+"
"214",3,26.8,"rom8","RAP-"
"215",3,27.3,"rom8","RAP-"
"216",3,29.2,"rom8","RAP-"
