MerozoiteNo,Treatment
29, -RAP
29, -RAP
30, -RAP
29, -RAP
26, -RAP
24, -RAP
25, -RAP
30, -RAP
20, -RAP
22, -RAP
25, -RAP
19, -RAP
22, -RAP
19, -RAP
26, -RAP
28, -RAP
28, -RAP
21, +RAP
12, +RAP
13, +RAP
13, +RAP
22, +RAP
16, +RAP
12, +RAP
23, +RAP
17, +RAP
19, +RAP
21, +RAP
13, +RAP
